campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas
623888,New User Discount,2023-01-01,New Users,Email,930,55,57,82.1,274.47,2.67
291759,Weekend Special,2023-01-01,All,App,900,244,23,69.99,226.47,1.54
940787,Festival Offer,2023-01-01,Premium,Email,671,221,36,89.09,196.93,3.0
530144,Flash Sale,2023-01-01,New Users,Email,569,148,30,59.82,208.86,3.38
927262,Membership Drive,2023-01-01,All,Email,827,300,92,69.04,328.42,1.82
63007,Category Promotion,2023-01-01,Premium,Email,927,149,83,62.62,421.7,3.53
680409,App Push Notification,2023-01-01,All,App,952,85,50,67.52,102.06,2.81
261224,Email Campaign,2023-01-01,All,App,966,167,23,57.5,249.44,3.1
574045,Referral Program,2023-01-01,All,SMS,722,110,36,51.99,215.06,3.89
444041,New User Discount,2023-01-02,Inactive,SMS,765,98,35,70.82,336.07,3.14
832757,Weekend Special,2023-01-02,Premium,SMS,805,168,76,58.68,212.59,2.21
648954,Festival Offer,2023-01-02,All,Email,943,287,53,68.36,112.04,1.98
462262,Flash Sale,2023-01-02,All,App,984,111,76,94.52,164.28,3.49
859181,Membership Drive,2023-01-02,Inactive,Email,486,180,100,95.91,105.12,3.66
68346,Category Promotion,2023-01-02,Premium,Social Media,705,218,64,85.49,228.36,2.28
554041,App Push Notification,2023-01-02,Premium,Email,415,252,26,75.25,376.15,3.09
720514,Email Campaign,2023-01-02,Premium,Email,611,170,71,82.45,265.28,3.58
37091,Referral Program,2023-01-02,Premium,SMS,687,231,63,82.36,215.47,3.21
941056,New User Discount,2023-01-03,New Users,App,645,204,70,97.83,333.28,2.06
706044,Weekend Special,2023-01-03,New Users,App,717,137,21,93.57,187.69,2.98
694889,Festival Offer,2023-01-03,Inactive,App,566,159,43,89.65,168.09,1.84
630511,Flash Sale,2023-01-03,Premium,SMS,460,65,71,88.36,306.54,1.89
800585,Membership Drive,2023-01-03,Premium,Email,762,120,30,80.72,458.15,1.67
897425,Category Promotion,2023-01-03,New Users,Social Media,899,101,85,69.59,154.55,1.71
597302,App Push Notification,2023-01-03,All,SMS,868,115,57,80.7,307.42,2.27
504212,Email Campaign,2023-01-03,Inactive,App,554,104,69,87.72,421.77,3.85
14825,Referral Program,2023-01-03,New Users,App,502,96,33,53.58,395.67,3.47
318246,New User Discount,2023-01-04,All,Email,820,173,10,67.99,284.43,3.84
108919,Weekend Special,2023-01-04,New Users,Social Media,636,106,28,77.75,244.67,2.85
459810,Festival Offer,2023-01-04,Premium,App,748,254,72,71.99,235.32,3.51
173604,Flash Sale,2023-01-04,All,Email,678,286,85,68.22,455.58,1.69
106727,Membership Drive,2023-01-04,New Users,App,519,235,74,67.57,489.35,3.02
54817,Category Promotion,2023-01-04,New Users,SMS,486,192,55,62.49,375.94,2.13
82399,App Push Notification,2023-01-04,Premium,Email,491,100,50,92.3,361.77,2.5
529162,Email Campaign,2023-01-04,Inactive,SMS,752,65,11,52.49,337.81,2.11
315252,Referral Program,2023-01-04,Inactive,SMS,695,212,78,51.02,364.88,2.32
852405,New User Discount,2023-01-05,All,Social Media,693,65,20,51.25,311.95,2.87
66078,Weekend Special,2023-01-05,New Users,SMS,553,294,60,50.25,230.13,3.9
426416,Festival Offer,2023-01-05,New Users,Email,511,246,76,53.36,242.31,1.73
783782,Flash Sale,2023-01-05,All,Email,769,68,16,75.46,117.25,3.62
488631,Membership Drive,2023-01-05,Premium,Email,410,265,66,77.18,270.05,2.24
894973,Category Promotion,2023-01-05,Inactive,Email,872,249,34,61.94,498.65,3.1
859432,App Push Notification,2023-01-05,Inactive,Social Media,765,92,80,77.2,182.32,3.95
660995,Email Campaign,2023-01-05,New Users,Email,486,138,94,62.25,363.63,2.3
827369,Referral Program,2023-01-05,Premium,Social Media,885,218,39,66.05,196.0,2.27
331787,New User Discount,2023-01-06,Inactive,SMS,549,207,14,83.15,274.1,2.22
311020,Weekend Special,2023-01-06,Inactive,SMS,708,199,49,57.12,121.84,3.36
619692,Festival Offer,2023-01-06,All,SMS,555,290,64,61.56,358.36,2.93
483342,Flash Sale,2023-01-06,Premium,App,619,283,16,56.87,215.01,2.62
660857,Membership Drive,2023-01-06,Inactive,Social Media,850,135,74,55.0,228.13,3.28
729037,Category Promotion,2023-01-06,Premium,Email,755,202,17,53.05,479.96,2.94
902840,App Push Notification,2023-01-06,New Users,SMS,697,205,62,85.32,389.81,3.48
991253,Email Campaign,2023-01-06,Premium,Email,671,273,91,62.87,257.27,2.66
591046,Referral Program,2023-01-06,Inactive,App,865,78,80,75.29,420.76,2.38
648156,New User Discount,2023-01-07,Premium,SMS,663,157,44,97.21,154.64,2.36
570458,Weekend Special,2023-01-07,All,Social Media,608,214,95,89.76,430.08,2.05
805216,Festival Offer,2023-01-07,New Users,Social Media,730,236,54,56.5,453.19,3.15
248243,Flash Sale,2023-01-07,Premium,Social Media,487,276,32,63.24,243.76,2.13
68504,Membership Drive,2023-01-07,New Users,Email,454,277,94,50.43,253.93,2.31
48584,Category Promotion,2023-01-07,New Users,Email,699,84,39,64.02,228.98,1.96
646340,App Push Notification,2023-01-07,Premium,Email,759,66,86,64.82,225.08,2.85
906129,Email Campaign,2023-01-07,New Users,Email,548,246,83,83.43,120.38,2.23
12882,Referral Program,2023-01-07,New Users,App,555,106,30,50.56,208.52,2.47
907266,New User Discount,2023-01-08,New Users,App,708,172,97,63.38,242.05,3.8
696186,Weekend Special,2023-01-08,Inactive,Email,403,208,52,90.37,105.66,2.1
506321,Festival Offer,2023-01-08,New Users,App,501,85,96,53.68,303.88,3.9
345959,Flash Sale,2023-01-08,New Users,App,750,278,21,65.42,435.23,3.31
90799,Membership Drive,2023-01-08,Premium,SMS,675,88,51,62.81,356.27,2.07
335146,Category Promotion,2023-01-08,Inactive,Social Media,916,273,34,66.56,223.02,3.54
330513,App Push Notification,2023-01-08,Premium,App,632,148,33,71.95,337.2,3.76
213402,Email Campaign,2023-01-08,New Users,Social Media,463,67,100,81.04,175.08,2.43
